Time,jake paul: (United States)
2021-01-31T22:44:00-05:00,78
2021-01-31T22:52:00-05:00,72
2021-01-31T23:00:00-05:00,60
2021-01-31T23:08:00-05:00,56
2021-01-31T23:16:00-05:00,59
2021-01-31T23:24:00-05:00,70
2021-01-31T23:32:00-05:00,58
2021-01-31T23:40:00-05:00,78
2021-01-31T23:48:00-05:00,63
2021-01-31T23:56:00-05:00,74
2021-02-01T00:04:00-05:00,67
2021-02-01T00:12:00-05:00,85
2021-02-01T00:20:00-05:00,67
2021-02-01T00:28:00-05:00,71
2021-02-01T00:36:00-05:00,49
2021-02-01T00:44:00-05:00,61
2021-02-01T00:52:00-05:00,57
2021-02-01T01:00:00-05:00,86
2021-02-01T01:08:00-05:00,69
2021-02-01T01:16:00-05:00,67
2021-02-01T01:24:00-05:00,66
2021-02-01T01:32:00-05:00,88
2021-02-01T01:40:00-05:00,70
2021-02-01T01:48:00-05:00,48
2021-02-01T01:56:00-05:00,100
2021-02-01T02:04:00-05:00,87
2021-02-01T02:12:00-05:00,69
2021-02-01T02:20:00-05:00,98
2021-02-01T02:28:00-05:00,65
2021-02-01T02:36:00-05:00,76
2021-02-01T02:44:00-05:00,82
2021-02-01T02:52:00-05:00,80
2021-02-01T03:00:00-05:00,52
2021-02-01T03:08:00-05:00,97
2021-02-01T03:16:00-05:00,52
2021-02-01T03:24:00-05:00,97
2021-02-01T03:32:00-05:00,57
2021-02-01T03:40:00-05:00,60
2021-02-01T03:48:00-05:00,78
2021-02-01T03:56:00-05:00,87
2021-02-01T04:04:00-05:00,77
2021-02-01T04:12:00-05:00,47
2021-02-01T04:20:00-05:00,57
2021-02-01T04:28:00-05:00,9
2021-02-01T04:36:00-05:00,41
2021-02-01T04:44:00-05:00,50
2021-02-01T04:52:00-05:00,54
2021-02-01T05:00:00-05:00,35
2021-02-01T05:08:00-05:00,55
2021-02-01T05:16:00-05:00,43
2021-02-01T05:24:00-05:00,17
2021-02-01T05:32:00-05:00,42
2021-02-01T05:40:00-05:00,59
2021-02-01T05:48:00-05:00,41
2021-02-01T05:56:00-05:00,50
2021-02-01T06:04:00-05:00,25
2021-02-01T06:12:00-05:00,43
2021-02-01T06:20:00-05:00,41
2021-02-01T06:28:00-05:00,40
2021-02-01T06:36:00-05:00,23
2021-02-01T06:44:00-05:00,53
2021-02-01T06:52:00-05:00,31
2021-02-01T07:00:00-05:00,43
2021-02-01T07:08:00-05:00,37
2021-02-01T07:16:00-05:00,35
2021-02-01T07:24:00-05:00,59
2021-02-01T07:32:00-05:00,42
2021-02-01T07:40:00-05:00,33
2021-02-01T07:48:00-05:00,29
2021-02-01T07:56:00-05:00,27
2021-02-01T08:04:00-05:00,36
2021-02-01T08:12:00-05:00,33
